"","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"1","stan",1,0.9,"diag",0.095504633848269,38,1.791,2.835,225.755642591919,1000,1000,224.775106825549,0.999001816381002,1.00641622371445,0.999350535908628,79.6316199618762,"growth"
"2","tmbstan",1,0.9,"diag",0.097707078526616,38,2.212,3.539,145.487469151648,914.017127461194,1000,129.89037548011,0.999000173575729,1.00305511266067,0.999492755596957,41.1097680564137,"growth"
"3","tmb",1,0.9,"diag",0.128674261615911,38,14.4923729896545,18.8865880966187,160.209807724293,914.029559777386,1000,148.753406129603,0.999000480741808,1.00522356282838,0.999475453860521,8.48272895584438,"growth"
"4","admb",1,0.9,"diag",0.135263,38,NA,6.23999999999978,171.304643863881,890.190607083036,1000,165.190282082611,0.99900011380379,1.01281143155912,0.999836090396827,27.4526672858793,"growth"
"5","stan",2,0.9,"diag",0.0971466308405377,38,1.791,2.834,182.390433476606,942.256051802951,1000,163.80845320195,0.998999509810554,1.00289436145526,0.999464363237947,64.3579511208913,"growth"
"6","tmbstan",2,0.9,"diag",0.0978686619148785,38,2.102,3.521,256.500861183377,931.284170545104,1000,234.848135034804,0.999006222374746,1.00848531132029,0.999600639401875,72.848867135296,"growth"
"7","tmb",2,0.9,"diag",0.125258571363694,38,13.7249739170074,18.6945469379425,159.613194993664,835.369386902021,1000,141.663139214038,0.998999504519466,1.0096805570636,1.00000549798586,8.5379547053752,"growth"
"8","admb",2,0.9,"diag",0.116394,38,NA,6.5,140.881936439812,777.088287043813,1000,138.52988635229,0.998999888578739,1.00599615217403,0.999752280456906,21.6741440676633,"growth"
"9","stan",3,0.9,"diag",0.0971094087423344,38,1.626,2.657,151.417246894903,964.942635642482,1000,179.563056850354,0.999000084388073,1.00721777510472,0.999821458886515,56.9880492641712,"growth"
"10","tmbstan",3,0.9,"diag",0.0842100565218779,38,2.318,3.893,180.523046534762,1000,1000,184.367145702777,0.998999515201224,1.00654206651162,1.0004968819899,46.3711909927466,"growth"
"11","tmb",3,0.9,"diag",0.127877225385484,38,13.1936941146851,17.6780099868774,194.851927442055,818.818278047177,1000,184.451420702412,0.998999959555753,1.007022294145,0.999579301606418,11.0222772578303,"growth"
"12","admb",3,0.9,"diag",0.128958,38,NA,6,149.190430878041,810.546360643395,1000,148.489441707085,0.999003386632229,1.00737883869413,0.999560406531738,24.8650718130069,"growth"
"13","stan",4,0.9,"diag",0.0847342078148093,38,1.743,2.912,156.451161317175,1000,1000,165.5266413113,0.999000381026938,1.0131641475624,0.999434439855952,53.7263603424365,"growth"
"14","tmbstan",4,0.9,"diag",0.0966976292718604,38,2.101,3.441,172.636552917288,846.746834482348,1000,149.167994872901,0.998999506099384,1.0045276513987,0.999362545513552,50.1704600166487,"growth"
"15","tmb",4,0.9,"diag",0.114350491266718,38,20.6807761192322,25.8872630596161,159.094173614909,780.096718981434,1000,176.670575441541,0.999033351488224,1.00653948159514,0.999907231944633,6.14565445750402,"growth"
"16","admb",4,0.9,"diag",0.115376,38,NA,7.94000000000005,149.14860372591,782.030325631533,1000,164.120644683279,0.998999592248396,1.01778643074801,1.00006056347458,18.7844589075452,"growth"
"17","stan",5,0.9,"diag",0.086226657860433,38,1.787,2.971,135.465197092604,1000,1000,132.486088080209,0.998999619771829,1.01208731811539,0.999448637393429,45.5958253425123,"growth"
"18","tmbstan",5,0.9,"diag",0.132054446984157,38,2.412,3.252,189.779439339779,1000,1000,183.465841410399,0.999002207040098,1.01662434543935,0.999718315819725,58.3577611745938,"growth"
"19","tmb",5,0.9,"diag",0.113014367936409,38,14.59761095047,19.8780190944672,152.807666623628,640.773072000321,1000,136.665213569421,0.999016614395138,1.01247273072041,1.00049057364896,7.68726832877226,"growth"
"20","admb",5,0.9,"diag",0.130021,38,NA,6.17999999999984,134.446756010104,1000,1000,138.102906505214,0.998999604862273,1.00515483626178,0.999653098679009,21.7551385129624,"growth"
"21","stan",6,0.9,"diag",0.111636206518256,38,1.775,2.631,150.216846069164,739.394905918152,1000,172.226724424819,0.999003871549408,1.01751450348078,0.99937241981404,57.0949623980099,"growth"
"22","tmbstan",6,0.9,"diag",0.103357052371927,38,2.15,3.46,171.602965142998,1000,1000,166.83282512025,0.999001668026828,1.00961075047433,0.999936075909325,49.5962327002885,"growth"
"23","tmb",6,0.9,"diag",0.1351416295107,38,12.1537020206451,16.5950779914856,120.209617552112,1000,1000,104.521394314822,0.999000801679476,1.00271924660573,0.999494722478943,7.2436910277727,"growth"
"24","admb",6,0.9,"diag",0.101662,38,NA,6.86999999999989,212.167273104293,757.106795069533,1000,182.809889880376,0.999000581904913,1.00618074691864,0.999392953080103,30.8831547458946,"growth"
"25","stan",7,0.9,"diag",0.107094102530807,38,2.165,3.115,172.95174659673,791.037007217554,1000,179.394159752833,0.999010326143084,1.00726789111505,0.99999103585354,55.5222300471042,"growth"
"26","tmbstan",7,0.9,"diag",0.112144710879189,38,2.153,3.275,175.392124559202,916.674288821845,1000,238.958792315277,0.999000177044696,1.00896386500202,0.999430231971064,53.5548471936496,"growth"
"27","tmb",7,0.9,"diag",0.128330822226187,38,12.3599429130554,16.6321439743042,125.520445724985,1000,1000,165.549123297507,0.999004887875953,1.02740560516644,1.00053482219802,7.54685901702795,"growth"
"28","admb",7,0.9,"diag",0.12543,38,NA,6.44000000000005,197.985452387206,812.775997788473,1000,203.375649519686,0.999000955010392,1.0137183975981,0.999460164365323,30.7430826688206,"growth"
"29","stan",8,0.9,"diag",0.0836651965911962,38,1.775,2.928,166.270600059064,1000,1000,180.14511898043,0.999000143864601,1.01017273874236,0.999763131698933,56.7864071239971,"growth"
"30","tmbstan",8,0.9,"diag",0.0892429416479295,38,2.134,3.613,194.748689617977,1000,1000,176.753220639201,0.998999499953835,1.00357422565605,0.999496949350892,53.9022113528859,"growth"
