"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,1101,1000,0.916197060995705,0.9,0.0857882346942724,0,0,63,63,0,"diag","wildf"
"2","tmbstan",1,1101,1000,0.904322257783193,0.9,0.0941685472990091,0,0,63,63,0,"diag","wildf"
"3","tmb",1,1101,1000,0.903813219903814,0.9,0.0878790773363567,0,0,63,63,0,"diag","wildf"
"4","admb",1,1101,1000,0.889375347995,0.9,0.0871603,0,0,63,63,0,"diag","wildf"
"5","stan",2,1101,1000,0.912998647412239,0.9,0.0856914852135201,0,0,63,63,0,"diag","wildf"
"6","tmbstan",2,1101,1000,0.916778330542862,0.9,0.0845933619990382,0,0,63,63,0,"diag","wildf"
"7","tmb",2,1101,1000,0.904163692647074,0.9,0.0821015362499089,0,0,63,63,0,"diag","wildf"
"8","admb",2,1101,1000,0.868056722683881,0.9,0.094487,0,0,62.968,63,1.01192885125388,"diag","wildf"
"9","stan",3,1101,1000,0.907095656593417,0.9,0.0856104388693251,0,0,63,63,0,"diag","wildf"
"10","tmbstan",3,1101,1000,0.921433586274986,0.9,0.0817735461058923,0,0,63,63,0,"diag","wildf"
"11","tmb",3,1101,1000,0.830849721478325,0.9,0.0962950091439695,0,0,62.2,63,4.99849827298009,"diag","wildf"
"12","admb",3,1101,1000,0.875581929973,0.9,0.0897941,0,0,63,63,0,"diag","wildf"
"13","stan",4,1101,1000,0.914831447289044,0.9,0.0877866262093319,0,0,63,63,0,"diag","wildf"
"14","tmbstan",4,1101,1000,0.921879890072552,0.9,0.0865259585663296,0,0,63,63,0,"diag","wildf"
"15","tmb",4,1101,1000,0.901448613068352,0.9,0.0838173059708653,0,0,63,63,0,"diag","wildf"
"16","admb",4,1101,1000,0.870715797064,0.9,0.100619,0,0,50.648,31,33.7765740262827,"diag","wildf"
"17","stan",5,1101,1000,0.908155332500677,0.9,0.0946725626624305,0,0,63,63,0,"diag","wildf"
"18","tmbstan",5,1101,1000,0.914815589914213,0.9,0.0903717432094109,0,0,63,63,0,"diag","wildf"
"19","tmb",5,1101,1000,0.909842305358229,0.9,0.08515990012835,0,0,63,63,0,"diag","wildf"
"20","admb",5,1101,1000,0.925874067,0.9,0.0847982,0,0,63,63,0,"diag","wildf"
"21","stan",6,1101,1000,0.901127126868138,0.9,0.0852241478088935,0,0,63,63,0,"diag","wildf"
"22","tmbstan",6,1101,1000,0.914254988233537,0.9,0.087025995882993,0,0,63,63,0,"diag","wildf"
