"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model"
"1","stan",1,32,1000,0.82292554453992,0.8,0.658866227805233,0,0,7,7,0,"diag","iidz"
"2","tmbstan",1,32,1000,0.847425203259736,0.8,0.605173510028513,0,0,7,7,0,"diag","iidz"
"3","tmb",1,32,1000,0.82933520030602,0.8,0.677597805381515,0,0,6.98,7,0.282275892841878,"diag","iidz"
"4","admb",1,32,1000,0.8226816792,0.8,0.673812,0,0,6.988,7,0.218869604796792,"diag","iidz"
"5","stan",2,32,1000,0.833850123027282,0.8,0.619941317870703,0,0,7,7,0,"diag","iidz"
"6","tmbstan",2,32,1000,0.839370327939185,0.8,0.620618192111335,0,0,7,7,0,"diag","iidz"
"7","tmb",2,32,1000,0.817049359659729,0.8,0.699146088702565,0,0,6.984,7,0.252602074037027,"diag","iidz"
"8","admb",2,32,1000,0.804648597,0.8,0.699815,0,0,6.972,7,0.333657500031585,"diag","iidz"
"9","stan",3,32,1000,0.88048589711131,0.8,0.551565094785132,0,0,7,7,0,"diag","iidz"
"10","tmbstan",3,32,1000,0.849506067142582,0.8,0.617190052782576,0,0,7,7,0,"diag","iidz"
"11","tmb",3,32,1000,0.827744925242105,0.8,0.662057120604347,0,0,6.996,7,0.126491106406735,"diag","iidz"
"12","admb",3,32,1000,0.823066142,0.8,0.694267,0,0,6.992,7,0.178795883531943,"diag","iidz"
"13","stan",4,32,1000,0.848966978619229,0.8,0.602085033157013,0,0,7,7,0,"diag","iidz"
"14","tmbstan",4,32,1000,0.851299135307688,0.8,0.612260861726738,0,0,6.996,7,0.126491106406735,"diag","iidz"
"15","tmb",4,32,1000,0.83247688503532,0.8,0.660446367085618,0,0,7,7,0,"diag","iidz"
"16","admb",4,32,1000,0.821008631,0.8,0.663901,0,0,6.988,7,0.218869604796792,"diag","iidz"
"17","stan",1,64,1000,0.852105480391891,0.8,0.498395332101837,0,0,7,7,0,"diag","iidz"
"18","tmbstan",1,64,1000,0.835080636770705,0.8,0.532806936913161,0,0,7,7,0,"diag","iidz"
"19","tmb",1,64,1000,0.828952643888647,0.8,0.564689615762738,0,0,7,7,0,"diag","iidz"
"20","admb",1,64,1000,0.823176767,0.8,0.572586,0,0,7,7,0,"diag","iidz"
"21","stan",2,64,1000,0.81569939236469,0.8,0.562807076673323,0,0,7,7,0,"diag","iidz"
"22","tmbstan",2,64,1000,0.873581413448906,0.8,0.477611855960942,0,0,7,7,0,"diag","iidz"
"23","tmb",2,64,1000,0.832337868431253,0.8,0.571344773388773,0,0,7,7,0,"diag","iidz"
"24","admb",2,64,1000,0.824797866,0.8,0.572117,0,0,7,7,0,"diag","iidz"
"25","stan",3,64,1000,0.857036389680048,0.8,0.496421017338205,0,0,7,7,0,"diag","iidz"
"26","tmbstan",3,64,1000,0.847716602336748,0.8,0.502868061283091,0,0,7,7,0,"diag","iidz"
"27","tmb",3,64,1000,0.805519308836129,0.8,0.604102702821271,0,0,7,7,0,"diag","iidz"
"28","admb",3,64,1000,0.819585709,0.8,0.583326,0,0,7,7,0,"diag","iidz"
"29","stan",4,64,1000,0.861029398670522,0.8,0.48489153328284,0,0,7,7,0,"diag","iidz"
"30","tmbstan",4,64,1000,0.880881961144013,0.8,0.456542237718102,0,0,7.048,7,0.79895828072205,"diag","iidz"
"31","tmb",4,64,1000,0.795363957389493,0.8,0.610373858544979,0,0,7,7,0,"diag","iidz"
"32","admb",4,64,1000,0.807487555,0.8,0.584619,0,0,7,7,0,"diag","iidz"
"33","stan",1,128,1000,0.860723873208725,0.8,0.417930889224416,0,0,73.816,39,86.0101150091307,"diag","iidz"
"34","tmbstan",1,128,1000,0.844609747802473,0.8,0.434512904229678,0,0,18.272,7,17.939895647853,"diag","iidz"
